comment,sentiment
"You have some nice captures of yourself and where you’re staying. Not to mention just how easy you are to look at, Kate 😎",1
Pic 3 😍,0
Wow beautiful! Imagine owning all of that! Whenever I go to a hotel I do like entertaining the thought that it’s my home too!,1
I love your beautiful smile,1
Chapeau Chef Kate👏,1
😍😍,0
😍😍😍😮😮😮🔥🔥❤️,0
Beautiful bridgeton lol,1
That sky 😍,1
Princess Kate!),1
❤️❤️,0
✨🤎😘🤍✨,0
❤️❤️❤️,0
What a dream!!,1
Would love to play house there. Wow 🙌❤️,0
Looks like an epic trip! Wow!!!,0
🥇🌱,0
Incroyable!,0
C’est beau la France,1
Très chic! 🤩,0
"I'm going to buy a castle for Kate, if I'm a millionaire ❤️😊",1
She made it!! ❤️❤️❤️,0
You're beautiful and classy as always 😍❤️🌹,1
❤️❤️😍😍,0
So cool❤️❤️ and you look amazing 😍❤️,1
Gorgeousness,0
So beautiful! And the house too,1
👌😍🔥,0
Simply Amazing pics Kate 😍 how do you do it? 👏👏,1
👏👏👏,0
😍😍❤️❤️,0
❤️❤️❤️😍😍😍,0
😁🙌❤️,0
Nous sommes les baronnes!,1
Yes yes yes 😍,0
😍,0
Hermosa,0
Wow I bow with respect to your magnificent beauty 🫶❤️‍🔥💫🌹,1
I love  you  beautiful  gorgeous  stunning  awesome  and  amazing  goddess  kate easton,1
It’s not the house but the lady in the house…..,1
